,oil_rents,map
682,0.0849309279947331,EUU1993
683,0.0864583430953788,EUU1994
684,0.0853261924822419,EUU1995
685,0.11805802416714302,EUU1996
686,0.0972385389860339,EUU1997
687,0.02391241092981,EUU1998
688,0.0901532945078249,EUU1999
689,0.210896026399696,EUU2000
690,0.145236157117679,EUU2001
691,0.143984139227288,EUU2002
692,0.131721112681514,EUU2003
693,0.144193850521249,EUU2004
694,0.18299865146244298,EUU2005
695,0.187594002593246,EUU2006
696,0.17455195885859198,EUU2007
697,0.213250435209614,EUU2008
698,0.11857383742144902,EUU2009
699,0.16152962408539903,EUU2010
700,0.19976518841788002,EUU2011
701,0.182513409639308,EUU2012
702,0.148465764837569,EUU2013
703,0.12789933554342,EUU2014
704,0.0668499470793328,EUU2015
705,0.0515140857534726,EUU2016
706,0.0732886002769023,EUU2017
707,,EUU2018
708,,FCS1960
709,,FCS1961
710,,FCS1962
711,,FCS1963
712,,FCS1964
713,,FCS1965
714,,FCS1966
715,,FCS1967
716,,FCS1968
717,,FCS1969
718,,FCS1970
719,4.34790175461605,FCS1971
720,4.26397934053783,FCS1972
721,5.9080749732770395,FCS1973
722,19.2699348897102,FCS1974
723,18.5916264201636,FCS1975
724,19.224785904113396,FCS1976
725,17.3085068140464,FCS1977
726,16.6956597198542,FCS1978
727,,FCS1979
728,26.175955209352,FCS1980
729,11.657854091633402,FCS1981
730,8.98285692092995,FCS1982
731,9.8823361719761,FCS1983
732,11.2499644914621,FCS1984
733,12.0504861241745,FCS1985
734,6.64990544625144,FCS1986
735,10.497918385942599,FCS1987
736,10.3276450617948,FCS1988
737,15.6711315588951,FCS1989
738,12.165464755546598,FCS1990
739,10.128198158071001,FCS1991
740,10.995989514853802,FCS1992
741,10.5832465409999,FCS1993
742,11.1510428787155,FCS1994
743,11.6774306136674,FCS1995
744,13.656435814016099,FCS1996
745,11.2488889788862,FCS1997
746,6.83121776270272,FCS1998
747,9.88181362286016,FCS1999
748,14.8319545055777,FCS2000
749,12.8073360928455,FCS2001
750,13.267154977481502,FCS2002
751,13.9531160688823,FCS2003
752,24.212388602768,FCS2004
753,29.3384999997017,FCS2005
754,30.855409344478698,FCS2006
755,28.0053679624108,FCS2007
756,31.189551073684303,FCS2008
757,18.2421283756716,FCS2009
758,21.9080774279874,FCS2010
759,24.042311199732104,FCS2011
760,24.3659099101152,FCS2012
761,21.2546726752863,FCS2013
762,18.3757513133739,FCS2014
763,10.593381124509,FCS2015
764,9.387232041787321,FCS2016
765,12.765235959965501,FCS2017
766,,FCS2018
767,,HPC1960
768,,HPC1961
769,,HPC1962
770,,HPC1963
771,,HPC1964
772,,HPC1965
773,,HPC1966
774,,HPC1967
775,,HPC1968
776,,HPC1969
777,,HPC1970
778,0.0560671885401118,HPC1971
779,0.0705781080561193,HPC1972
780,0.11963337711373,HPC1973
781,0.765316433777566,HPC1974
782,0.5699442372680429,HPC1975
783,0.7548055148824391,HPC1976
784,0.596507782810944,HPC1977
785,0.600822799985799,HPC1978
786,1.67648703982563,HPC1979
787,1.44064057681425,HPC1980
788,0.957210077046634,HPC1981
789,0.5344922992116741,HPC1982
790,1.0175265524508699,HPC1983
791,1.7378760677234097,HPC1984
792,1.87201081508555,HPC1985
793,0.540763862175828,HPC1986
794,1.1108424444971101,HPC1987
795,0.813303272439727,HPC1988
796,1.49265383338847,HPC1989
797,1.91091367291766,HPC1990
798,0.9541710284597801,HPC1991
799,1.20567520645272,HPC1992
800,1.07760604643817,HPC1993
801,0.933676203236487,HPC1994
802,0.966754523770305,HPC1995
803,1.3855241607205802,HPC1996
804,1.21054341295204,HPC1997
805,0.450019945488253,HPC1998
806,1.08167184183214,HPC1999
807,2.7054618507920702,HPC2000
808,1.83831093745814,HPC2001
809,1.76031795155779,HPC2002
810,1.7532095400180603,HPC2003
811,3.59920232270882,HPC2004
812,5.1797870324723,HPC2005
813,5.85249899053293,HPC2006
814,5.46031824423931,HPC2007
815,6.507940995294209,HPC2008
816,3.02641090342781,HPC2009
817,4.26906565259826,HPC2010
818,5.745545890154849,HPC2011
