code,year,residual
DZA,1996,0.8626066264716723
DZA,1997,0.7000584105162853
DZA,1998,0.3277281897767818
DZA,1999,0.7306525069025797
DZA,2000,0.15861253628653652
DZA,2001,-0.42810176181355847
DZA,2002,-0.22073613899533595
DZA,2003,-0.19039267894514134
DZA,2004,-0.18603418758189538
DZA,2005,-0.1473670209519381
DZA,2006,-0.32895116384974527
DZA,2007,-0.18491596292585044
DZA,2008,-0.5358528645283214
DZA,2009,-0.30727569886091416
DZA,2010,-0.5477776689358906
DZA,2011,-0.5328457848475066
DZA,2012,-0.5878093519735111
DZA,2013,-0.4456497398084169
DZA,2014,-0.3097193389291726
DZA,2015,-0.717917702260656
DZA,2016,-0.6451794975766357
ECU,1970,-0.6458643275611373
ECU,1971,-0.7227506927110823
ECU,1972,-0.6501598570881724
ECU,1973,-0.6880529194118882
ECU,1974,-0.8659079784750675
ECU,1975,-0.9937725047139359
ECU,1976,-0.8414708287297459
ECU,1977,-0.8020993363995437
ECU,1978,-0.8437675998339216
ECU,1979,-0.5938978212765047
ECU,1980,-0.6892290170966753
ECU,1981,-0.6881154996827642
ECU,1982,-0.6454124796563809
ECU,1983,-0.5430755924384842
ECU,1984,-0.6085697201887328
ECU,1985,-0.5080230549021787
ECU,1986,-0.5576899834377756
ECU,1987,-0.6506763984024637
ECU,1988,-0.4831298483898008
ECU,1989,-0.6668708675102011
ECU,1990,-0.6272906072496278
ECU,1991,-0.719649975086794
ECU,1992,0.37134353231303396
ECU,1993,0.3126162808472928
ECU,1994,-0.652870228670414
ECU,1995,-0.9060235181148751
ECU,1996,-0.879362539939569
ECU,1997,-0.7662042404061832
ECU,1998,-0.7829022200076767
ECU,1999,-0.5455147698513068
ECU,2000,-0.6009821051204165
ECU,2001,-0.3064081459136239
ECU,2002,-0.4966264857013148
ECU,2003,-0.4790959349265143
ECU,2004,-0.4761534438180181
ECU,2005,-0.24281631671902248
ECU,2006,-0.3262485707936975
ECU,2007,-0.6791711118974323
ECU,2008,-0.6607920473040839
ECU,2009,-0.7220471455999036
ECU,2010,-0.4548015776580948
ECU,2011,-0.48027977409111067
ECU,2012,-0.5032548178592668
ECU,2013,-0.6435205397408673
ECU,2014,-0.47737956618372046
ECU,2015,-0.5062840472365563
ECU,2016,-0.5872418660533824
EGY,1970,0.5056640620728821
EGY,1971,0.675793740384041
EGY,1972,0.8418775183935931
EGY,1973,0.5415980993775751
