Country,Year,NY.GDP.TOTL.RT.ZS
IBT,1981,9.23694807222831
IBT,1982,8.14102087041845
IBT,1983,8.7268931189416
IBT,1984,8.22876374396386
IBT,1985,7.95923823747873
IBT,1986,4.6158480462772
IBT,1987,5.93356772476445
IBT,1988,5.61421094129475
IBT,1989,7.46088674768079
IBT,1990,8.46053485536959
IBT,1991,4.97516034099619
IBT,1992,5.10319254442919
IBT,1993,4.76329926512415
IBT,1994,4.15946082385515
IBT,1995,4.38680436730824
IBT,1996,4.75001052325405
IBT,1997,4.05333776423913
IBT,1998,2.59169951981405
IBT,1999,3.50279372422789
IBT,2000,5.85077479425481
IBT,2001,5.21227491382172
IBT,2002,5.06172533347827
IBT,2003,5.57666731320441
IBT,2004,7.43035394007558
IBT,2005,8.8171141643178
IBT,2006,9.64784395936471
IBT,2007,9.39700868238285
IBT,2008,11.551968088041
IBT,2009,6.56943796456272
IBT,2010,8.07918241662889
IBT,2011,9.87988927256815
IBT,2012,7.97888187422161
IBT,2013,6.84814361465161
IBT,2014,5.81267900654121
IBT,2015,3.46101291902857
IBT,2016,3.05937150154983
IBT,2017,3.75179304366689
IBT,2018,
IDB,1960,
IDB,1961,
IDB,1962,
IDB,1963,
IDB,1964,
IDB,1965,
IDB,1966,
IDB,1967,
IDB,1968,
IDB,1969,
IDB,1970,1.47610672944595
IDB,1971,1.61479665728845
IDB,1972,1.9311654076042
IDB,1973,4.24928544055765
IDB,1974,17.3518706387188
IDB,1975,12.8446150427815
IDB,1976,11.8299534104433
IDB,1977,14.1156175497153
