,res_rents,map
756,35.2584372543953,FCS2008
757,22.510308558661198,FCS2009
758,25.966072715992894,FCS2010
759,29.0966020343159,FCS2011
760,29.244184840974,FCS2012
761,26.1803746145227,FCS2013
762,23.568270999809602,FCS2014
763,15.9136341829073,FCS2015
764,14.7311652672504,FCS2016
765,17.934885091973,FCS2017
766,,FCS2018
767,,HPC1960
768,,HPC1961
769,,HPC1962
770,,HPC1963
771,,HPC1964
772,,HPC1965
773,,HPC1966
774,,HPC1967
775,,HPC1968
776,,HPC1969
777,7.430532235195839,HPC1970
778,5.39730650131614,HPC1971
779,5.413367754364178,HPC1972
780,8.37954133821056,HPC1973
781,8.990198261556099,HPC1974
782,6.19652891695657,HPC1975
783,6.14379731645501,HPC1976
784,6.98192252876381,HPC1977
785,6.05943622684303,HPC1978
786,7.3910960114262,HPC1979
787,8.1584787146728,HPC1980
788,6.86957215083421,HPC1981
789,8.20636733597927,HPC1982
790,6.93259681481001,HPC1983
791,6.95965656223494,HPC1984
792,5.93787888081457,HPC1985
793,5.70504624636477,HPC1986
794,5.959373500347018,HPC1987
795,6.9172724869760005,HPC1988
796,8.27290588597454,HPC1989
797,9.533916883025901,HPC1990
798,7.79633525659112,HPC1991
799,8.72027800973393,HPC1992
800,7.292009222377748,HPC1993
801,9.39648152315915,HPC1994
802,11.5921854264773,HPC1995
803,11.384731166232,HPC1996
804,10.2468152673971,HPC1997
805,9.09007807883591,HPC1998
806,6.88076937851584,HPC1999
807,8.26587241998011,HPC2000
808,7.5118568556423,HPC2001
809,7.99366647928194,HPC2002
810,10.3509353669399,HPC2003
811,10.605228455382699,HPC2004
812,12.217147111280902,HPC2005
813,13.3578397114446,HPC2006
814,14.153051166933801,HPC2007
815,15.3208063364709,HPC2008
816,11.771786428417599,HPC2009
817,13.217154752337198,HPC2010
818,16.3286452099878,HPC2011
819,14.5671803289166,HPC2012
820,13.364230793528,HPC2013
821,12.146510364429501,HPC2014
822,10.092853657845499,HPC2015
823,10.143485418999902,HPC2016
824,10.5500672802064,HPC2017
825,,HPC2018
826,,HIC1960
827,,HIC1961
828,,HIC1962
829,,HIC1963
830,,HIC1964
831,,HIC1965
832,,HIC1966
833,,HIC1967
834,,HIC1968
835,,HIC1969
836,0.7711945996743879,HIC1970
837,0.7554043788810891,HIC1971
838,0.760738748131401,HIC1972
839,1.01150854804226,HIC1973
840,2.91500301683918,HIC1974
841,2.7078300008750897,HIC1975
842,2.8863497595158703,HIC1976
843,2.8113555029142003,HIC1977
844,2.3177700591026498,HIC1978
845,4.07946942800138,HIC1979
846,4.66164569525295,HIC1980
847,3.82355552858726,HIC1981
848,2.38292028894257,HIC1982
849,2.4841214992290404,HIC1983
850,2.377310060685529,HIC1984
851,2.08923745580107,HIC1985
852,0.9460071707299,HIC1986
853,1.08350517247619,HIC1987
854,0.9290912168838148,HIC1988
855,1.13908185145278,HIC1989
856,1.31195761392216,HIC1990
857,0.8702899031814579,HIC1991
858,0.863683137433607,HIC1992
859,0.845474960633325,HIC1993
860,0.7324900612038892,HIC1994
861,0.746066463780638,HIC1995
862,0.9472061260346892,HIC1996
863,0.847587544541484,HIC1997
864,0.532901989840147,HIC1998
865,0.7042774573338271,HIC1999
866,1.2746493714716498,HIC2000
867,1.12093984469565,HIC2001
868,0.9299177715141173,HIC2002
869,1.07689224128671,HIC2003
870,1.4098637492037702,HIC2004
871,1.77004537501829,HIC2005
872,1.93400520880419,HIC2006
873,1.9007251725891496,HIC2007
874,2.6705101511670404,HIC2008
875,1.45388995831013,HIC2009
876,1.8871636846095297,HIC2010
877,2.5840760816891803,HIC2011
878,2.3984374706736498,HIC2012
879,2.27784586275893,HIC2013
880,1.99992546470088,HIC2014
881,1.10839983552157,HIC2015
882,0.972488549305802,HIC2016
